timestamp,request_id,queue_type,alloc_type,connection_ms,bytes_sent,total_round_trip_ms
1779981557,68,SPSC,Arena,0.0632,150532,31.6024
1779981557,69,SPSC,Arena,0.0832,150532,31.5831
1779981557,70,SPSC,Arena,0.1862,150532,31.5812
1779981557,71,SPSC,Arena,0.0522,150532,31.5156
1779981557,72,SPSC,Arena,0.0606,150532,31.6226
1779981557,73,SPSC,Arena,0.1237,150532,31.8108
1779981557,74,SPSC,Arena,0.0567,150532,31.8666
1779981557,75,SPSC,Arena,0.0565,150532,31.9183
1779981557,76,SPSC,Arena,0.0958,150532,21.2748
1779981557,77,SPSC,Arena,0.0732,150532,31.8902
1779981557,78,SPSC,Arena,0.1256,150532,31.9009
1779981557,79,SPSC,Arena,0.0818,150532,31.6453
1779981557,80,SPSC,Arena,0.0648,150532,31.4925
1779981557,81,SPSC,Arena,0.1187,150532,31.5080
1779981557,82,SPSC,Arena,0.0885,150532,32.2535
1779981557,83,SPSC,Arena,0.0691,150532,32.3014
1779981557,84,SPSC,Arena,0.9289,150532,32.2063
1779981557,85,SPSC,Arena,0.0582,150532,32.2690
1779981557,86,SPSC,Arena,0.0715,150532,31.5261
1779981557,87,SPSC,Arena,0.0570,150532,31.5316
1779981557,88,SPSC,Arena,0.1185,150532,21.3640
1779981557,89,SPSC,Arena,0.1519,150532,31.6067
1779981557,90,SPSC,Arena,0.0606,150532,31.4372
1779981557,91,SPSC,Arena,0.0303,150532,31.0977
1779981557,92,SPSC,Arena,0.0548,150532,31.3280
1779981557,93,SPSC,Arena,0.0451,150532,31.2936
1779981557,94,SPSC,Arena,0.0477,150532,31.3268
1779981557,95,SPSC,Arena,0.1812,150532,31.3070
1779981557,96,SPSC,Arena,0.0606,150532,31.3175
1779981557,97,SPSC,Arena,0.0579,150532,31.3513
1779981557,98,SPSC,Arena,0.0548,150532,31.3199
1779981557,99,SPSC,Arena,0.0801,150532,31.3921
1779981557,100,SPSC,Arena,0.1147,150532,31.3928
1779981557,101,SPSC,Arena,0.0553,150532,31.2920
1779981557,102,SPSC,Arena,0.0501,150532,31.3344
1779981557,103,SPSC,Arena,0.0458,150532,31.7228
1779981557,104,SPSC,Arena,0.0808,150532,31.8048
1779981557,105,SPSC,Arena,0.0527,150532,31.7471
1779981557,106,SPSC,Arena,0.0539,150532,31.6966
1779981557,107,SPSC,Arena,0.0365,150532,31.2612
1779981557,108,SPSC,Arena,0.0579,150532,31.3556
1779981557,109,SPSC,Arena,0.0691,150532,31.3036
1779981557,110,SPSC,Arena,0.0889,150532,31.3199
1779981557,111,SPSC,Arena,0.0913,150532,31.3072
1779981557,112,SPSC,Arena,0.0501,150532,31.3368
1779981557,113,SPSC,Arena,0.0610,150532,31.6610
1779981557,114,SPSC,Arena,0.0548,150532,31.9099
1779981557,115,SPSC,Arena,0.2170,150532,31.8086
1779981557,116,SPSC,Arena,0.1225,150532,31.8561
1779981557,117,SPSC,Arena,0.0734,150532,31.5287
1779981557,118,SPSC,Arena,0.0525,150532,31.6322
1779981557,119,SPSC,Arena,0.0613,150532,31.5685
1779981557,120,SPSC,Arena,0.1073,150532,31.5912
1779981557,121,SPSC,Arena,0.1023,150532,31.6248
1779981557,122,SPSC,Arena,0.0517,150532,31.3766
1779981557,123,SPSC,Arena,0.0720,150532,31.3947
1779981557,124,SPSC,Arena,0.1264,150532,31.4460
1779981557,125,SPSC,Arena,0.0601,150532,31.3911
1779981557,126,SPSC,Arena,0.0885,150532,31.4219
1779981557,127,SPSC,Arena,0.0734,150532,31.3549
1779981557,128,SPSC,Arena,0.1254,150532,31.4856
1779981557,129,SPSC,Arena,0.0510,150532,31.4159
1779981557,130,SPSC,Arena,0.0689,150532,31.4639
1779981557,131,SPSC,Arena,0.0820,150532,31.4186
1779981557,132,SPSC,Arena,0.0699,150532,31.5626
1779981557,133,SPSC,Arena,0.0625,150532,31.5094
1779981557,134,SPSC,Arena,0.0608,150532,31.4178
1779981557,135,SPSC,Arena,0.0589,150532,31.4701
1779981557,136,SPSC,Arena,0.0463,150532,31.3210
1779981557,137,SPSC,Arena,0.0591,150532,31.3959
1779981557,138,SPSC,Arena,0.0615,150532,31.3630
1779981557,139,SPSC,Arena,0.1404,150532,31.3196
1779981557,140,SPSC,Arena,0.0529,150532,31.3797
1779981557,141,SPSC,Arena,0.0546,150532,31.4014
1779981557,142,SPSC,Arena,0.0570,150532,31.4262
1779981557,143,SPSC,Arena,0.0739,150532,31.5039
1779981557,144,SPSC,Arena,0.1166,150532,31.4713
1779981557,145,SPSC,Arena,0.0534,150532,31.3516
1779981557,146,SPSC,Arena,0.0815,150532,31.2524
1779981557,147,SPSC,Arena,0.0789,150532,31.1756
1779981557,148,SPSC,Arena,0.0544,150532,31.2159
1779981557,149,SPSC,Arena,0.0589,150532,31.3241
1779981557,150,SPSC,Arena,0.0513,150532,31.3418
1779981557,151,SPSC,Arena,0.0880,150532,31.3509
1779981557,152,SPSC,Arena,0.0529,150532,31.3919
1779981557,153,SPSC,Arena,0.0591,150532,31.2407
1779981557,154,SPSC,Arena,0.0892,150532,31.3196
1779981557,155,SPSC,Arena,0.0715,150532,31.3725
1779981557,156,SPSC,Arena,0.0508,150532,31.5475
1779981557,157,SPSC,Arena,0.0625,150532,31.4965
1779981558,158,SPSC,Arena,0.0691,150532,31.5313
1779981558,159,SPSC,Arena,0.0854,150532,31.5127
1779981558,160,SPSC,Arena,0.0434,150532,31.4260
1779981558,161,SPSC,Arena,0.0923,150532,31.5094
1779981558,162,SPSC,Arena,0.0699,150532,31.4984
1779981558,163,SPSC,Arena,0.1597,150532,31.4178
1779981558,164,SPSC,Arena,0.0584,150532,31.4291
1779981558,165,SPSC,Arena,0.0582,150532,31.4503
1779981558,166,SPSC,Arena,0.0627,150532,31.3861
1779981558,167,SPSC,Arena,0.1731,150532,31.3680
1779981558,168,SPSC,Arena,0.0660,150532,31.3776
1779981558,169,SPSC,Arena,0.0515,150532,31.3649
1779981558,170,SPSC,Arena,0.0584,150532,31.3694
1779981558,171,SPSC,Arena,0.0844,150532,31.3292
1779981558,172,SPSC,Arena,0.0589,150532,31.3940
1779981558,173,SPSC,Arena,0.0558,150532,31.4136
1779981558,174,SPSC,Arena,0.0532,150532,21.0285
1779981558,175,SPSC,Arena,0.0596,150532,31.4684
1779981558,176,SPSC,Arena,0.0982,150532,32.1100
1779981558,177,SPSC,Arena,0.0606,150532,31.9886
1779981558,178,SPSC,Arena,0.0746,150532,32.0315
1779981558,179,SPSC,Arena,0.0939,150532,32.0389
1779981558,180,SPSC,Arena,0.0744,150532,31.5416
1779981558,181,SPSC,Arena,0.0577,150532,31.5101
1779981558,182,SPSC,Arena,0.1252,150532,31.3568
1779981558,183,SPSC,Arena,0.0880,150532,31.3575
1779981558,184,SPSC,Arena,0.0737,150532,31.2638
1779981558,185,SPSC,Arena,0.0706,150532,31.3725
1779981558,186,SPSC,Arena,0.1166,150532,31.6157
1779981558,187,SPSC,Arena,0.0765,150532,31.6591
1779981558,188,SPSC,Arena,0.0682,150532,31.6293
1779981558,189,SPSC,Arena,0.0558,150532,31.5323
1779981558,190,SPSC,Arena,0.1070,150532,31.2700
1779981558,191,SPSC,Arena,0.0849,150532,31.3077
1779981558,192,SPSC,Arena,0.0663,150532,31.2490
1779981558,193,SPSC,Arena,0.0539,150532,31.1792
1779981558,194,SPSC,Arena,0.0601,150532,31.8358
1779981558,195,SPSC,Arena,0.0780,150532,31.8427
1779981558,196,SPSC,Arena,0.0741,150532,31.8403
1779981558,197,SPSC,Arena,0.0615,150532,31.9474
1779981558,198,SPSC,Arena,0.0665,150532,31.3730
1779981558,199,SPSC,Arena,0.0861,150532,31.4043
1779981558,200,SPSC,Arena,0.0813,150532,31.5070
